HITId,Task
2QP46OQ1SNQT62CE9ISQUCNRA49P5T,FactSpan
2E2NQY2RCJK92B1LCUI0UUIAZB04T9,FactSpan
2RWSCWY2AOO5FYSLP1FG0SCMFKR22J,FactSpan
298V66RLPHIW2T13J8BIG2NJZ4IF7W,FactSpan
2HNBMJTUHYW5F5VG0NYSFWM1FBFNI6,FactSpan
21NUFJ51Y7QHNBL5Z5SC2TMOOZ8AD7,FactSpan
23DHVKCJ011N1JAQGMBQ6618W6N79W,FactSpan
2WIOHOVR14I0J08SIF8EMWA665G67L,FactSpan
2Y4VHVKCJ014JEDBSK0K0W61HPM688,FactSpan
2SOBFMFFOYYLSDZQOQ7E2C0R6Y6ZME,FactSpan
23ZGYQ4J3NAE5NLTOSFY8IT12LWCPP,FactSpan
2KBVOK5UFJ54XJWLXC6Y0S1C1V469X,FactSpan
2I8P6AUC26DJ5JJ86GM0PK0CX14A3O,FactSpan
29UXKNQY2RCMJI964RUH10KURRS2RD,FactSpan
2VG5COW0LGR22KIYOY365NUZ5UTY7R,FactSpan
2YD8ER9Y8TNNHY5ZVIBFRS2OVHRT6Y,FactSpan
2ECLRGNTBJ3PLP3CO2YNG2KHKQP8UR,FactSpan
2SOBFMFFOYYLSDZQOQ7E2C0R6DRZMT,FactSpan
20JLY58B727PZUMMTU41GYFS4W5U90,FactSpan
2FN8B727M0IJEWNKAJPF2VF44ZPXCC,FactSpan
2G4AZHHRRLFTZ0TU4481UHO9NXTNEC,FactSpan
2NCFBNFSVGUOEFFC19XNQ1FSC416K6,FactSpan
27JSNQQ7Q6734DWRL0I1CTQCAENUAF,FactSpan
270HPCGJ2D24NF2C6URJZPSIB10A49,FactSpan
2KGOCCF0CP5NW1ZPWV9X8G4PVOPVUI,FactSpan
21ASZVXX2Q48T6QXXB7NSW1N1PQ7P6,FactSpan
26U6SK9RJ85RYU5LQZ1AZMOOZMGT5I,FactSpan
2J392HECWA602AUJLSRCZ5KXYAKKJP,FactSpan
2X2CCVLL3CA62YNHY3VCJNQUGEZY8E,FactSpan
2NDCPWZ9RNDZH0181KJNDDTG3I5CRW,FactSpan
2KVHJHP4BDDNFG4F05O973G3CTJY55,RelDir
27OSVQ8H88MTTIRCXOMCS1RX59N7QJ,RelDir
2QC8P9Y38TWZWU9Z3B9MAJTAOSIZIZ,RelDir
2BT2YU98JHSWKN9S9S2JJIOBRJWCO9,RelDir
2B5U8LZ6R70J43FFMLA35E7W0X56MV,RelDir
2CUNHMVHVKCMZD7RBKVJH9KQ20R35M,RelDir
2LAMEZZ2MIKPML0FYMP3ITWW5NF6NV,RelDir
2Q2SSZVXX2Q7460RZ1PGXIW1VXK6OA,RelDir
2GKMIKMN9U8S8A9F29NXS3SU5ZPSBS,RelDir
29E6NG1FS3N1MVH5OE6Z2ZL2484LZE,RelDir
2T1011K274JA8WW3FEZNE6UXNHPEC6,RelDir
2JV21O3W5XH3I1VZRFBYOPLSXCHBHC,RelDir
23ZGYQ4J3NAE5NLTOSFY8IT11OSCPQ,RelDir
2QKHECWA6X31NOIM9PG5UXPTP96MLS,RelDir
24BBJ3MMDX5IOJTDBX8BJMDXUCOZDN,RelDir
2IBHV8ER9Y8WMWOT85D5UFHSATZ4RX,RelDir
2L179KQW618Q3I04OP44FXCE0MEKMQ,RelDir
2RDKI62NJQ246E5GI386LKLC3JNMUD,RelDir
2PG1THV8ER9175TRRZQSW5KFOT5P2B,RelDir
26AI2KYEPLSS6HQSVJNJDOAHYJ2OUU,RelDir
2RCC26DG67D4WF17OXRCYK2JLNB7EG,RelDir
22DWJ5OPB0YYFBE5V927OP9UANQX5Z,RelDir
2P1HSTLB3L0IAVFPXOAETREVMA3UI5,RelDir
27PQ67051QKFM37923317MGI7H2ZFH,RelDir
2RU9KSSZVXX5PGB13XHO8GNI32QM48,RelDir
26DH8MZ9O9Z9J8A6VNQHRRRLLKQ09F,RelDir
20QEBDPGFL6YB126I4ED6IOV9XKI3M,RelDir
2I86SVQ8H88PP6CSE12VMI1R4JSP6J,RelDir
2LKJ1LY58B756Y6PPSBHN16YMRW7SJ,RelDir
24XSVGULF398R8CUPE6SDNYNQAKAO1,RelDir
2AGMNCWYB49I84YZQAS1TONS0R5RNN,RelDir
2F8S1CSTMOF0QPYBRPSE8DNXQEMRO4,RelDir
2FNPQJQ9OPLOWOD1V4OGIKCO67K1ZJ,RelDir
2CEJ5OPB0YVJYK4T5OYEZ9U38OUY6L,RelDir
222H1Q6SVQ8K7KSX3JC5YBVCP2UM3N,RelDir
2FWPLSP75KLP58PAXN8QOQVJY37ZTC,RelDir
2YDWAVKI62NMPE7EBC090H6BRKCJRD,RelDir
